jornada,equipo,partidos_jugados,goles_marcados_pp,goles_encajados_pp,victorias_pp,empates_pp,Amarillo_pp,Amarillo-Rojo_pp,Córners_pp,Duelos_pp,Faltas cometidas_pp,Fuera de juego_pp,Pases exitosos_pp,Pases ges._pp,Posesión de balón en %_pp,Rojo_pp,Tiros a puerta_pp,goles_marcados_racha,goles_encajados_racha,victoria_racha,empate_racha,derrota_racha,Amarillo_racha,Amarillo-Rojo_racha,Córners_racha,Duelos_racha,Faltas cometidas_racha,Fuera de juego_racha,Pases exitosos_racha,Pases ges._racha,Posesión de balón en %_racha,Rojo_racha,Tiros a puerta_racha
4,FC Barcelona,4,3.25,0.75,1.0,0.0,2.6666666666666665,0.0,6.333333333333333,51.73333333333333,11.666666666666666,1.3333333333333333,85.64,531.0,60.85999999999999,0.0,17.666666666666668,2.0,1.0,1.0,0.0,0.0,2.6666666666666665,0.0,6.333333333333333,51.73333333333333,11.666666666666666,1.3333333333333333,85.64,531.0,60.85999999999999,0.0,17.666666666666668
5,FC Barcelona,5,3.4,0.8,1.0,0.0,2.0,0.0,7.25,51.94,10.25,2.0,87.06,542.25,62.0025,0.0,19.0,3.25,0.75,1.0,0.0,0.0,2.0,0.0,7.25,51.94,10.25,2.0,87.06,542.25,62.0025,0.0,19.0
6,FC Barcelona,6,3.6666666666666665,0.8333333333333334,1.0,0.0,2.0,0.0,7.0,53.958000000000006,9.0,1.6,86.898,524.0,60.279999999999994,0.2,19.2,3.4,0.8,1.0,0.0,0.0,2.0,0.0,7.0,53.958000000000006,9.0,1.6,86.898,524.0,60.279999999999994,0.2,19.2
7,FC Barcelona,7,3.2857142857142856,0.7142857142857143,1.0,0.0,1.8333333333333333,0.0,6.333333333333333,53.1,9.5,1.3333333333333333,87.52666666666666,533.1666666666666,60.425000000000004,0.16666666666666666,18.833333333333332,4.0,0.8,1.0,0.0,0.0,1.6,0.0,6.0,54.806000000000004,8.8,1.4,87.84200000000001,528.8,60.510000000000005,0.2,19.0
8,FC Barcelona,8,3.125,1.125,0.875,0.0,1.7142857142857142,0.0,6.428571428571429,53.92714285714286,8.714285714285714,1.8571428571428572,87.68714285714285,542.5714285714286,61.98714285714285,0.14285714285714285,18.285714285714285,3.8,0.6,1.0,0.0,0.0,1.0,0.0,6.4,54.984,7.4,2.0,88.13199999999999,540.8,62.426,0.2,19.4
9,FC Barcelona,9,3.111111111111111,1.0,0.8888888888888888,0.0,1.75,0.0,6.625,54.18,8.0,1.625,87.5525,554.125,62.73375,0.125,17.5,3.8,1.2,0.8,0.0,0.2,1.2,0.0,6.8,55.648,5.8,1.8,88.7,568.0,63.85799999999999,0.2,17.4
10,FC Barcelona,10,3.3,1.0,0.9,0.0,1.7777777777777777,0.0,6.222222222222222,54.620000000000005,8.0,1.7777777777777777,87.87111111111112,562.1111111111111,63.21555555555555,0.1111111111111111,17.11111111111111,3.0,1.2,0.8,0.0,0.2,1.6,0.0,5.4,56.76400000000001,6.2,1.6,88.52000000000001,578.0,64.18599999999999,0.2,15.6
11,FC Barcelona,11,3.3636363636363638,0.9090909090909091,0.9090909090909091,0.0,1.7,0.0,6.1,54.584,7.8,1.9,88.155,565.1,63.166999999999994,0.1,17.5,3.2,1.2,0.8,0.0,0.2,1.4,0.0,5.2,55.21,6.6,2.2,89.412,606.2,66.054,0.0,15.8
12,FC Barcelona,12,3.3333333333333335,0.9166666666666666,0.9166666666666666,0.0,2.0,0.0,5.818181818181818,53.85,8.636363636363637,1.8181818181818181,87.7090909090909,551.7272727272727,62.48272727272727,0.09090909090909091,17.272727272727273,3.0,1.0,0.8,0.0,0.2,2.2,0.0,5.2,54.75,7.6,2.4,87.928,574.0,64.952,0.0,15.4
13,FC Barcelona,13,3.076923076923077,0.9230769230769231,0.8461538461538461,0.0,1.8333333333333333,0.0,6.083333333333333,53.245000000000005,9.0,1.9166666666666667,87.99000000000001,566.5,63.166666666666664,0.08333333333333333,17.0,3.4,1.2,0.8,0.0,0.2,2.0,0.0,5.6,52.29,9.4,2.0,88.414,600.0,64.818,0.0,15.2
